responsable,nombre de muestra,id secuencial,tipologia,a,b,c,
Ernesto Santana,M1,1,sedimentaria,61,49,35,correcto
Ernesto Santana,M1,2,sedimentaria,67,39,29,correcto
Ernesto Santana,M1,3,sedimentaria,118,54,36,correcto
Ernesto Santana,M1,4,sedimentaria,53,40,29,correcto
Ernesto Santana,M1,5,sedimentaria,81,43,34,correcto
Ernesto Santana,M1,6,sedimentaria,73,42,21,correcto
Ernesto Santana,M1,7,sedimentaria,43,37,16,correcto
Ernesto Santana,M1,8,sedimentaria,129,58,33,correcto
Ernesto Santana,M1,9,sedimentaria,58,35,26,correcto
Ernesto Santana,M1,10,sedimentaria,70,40,19,correcto
Ernesto Santana,M1,11,ígnea,45,35,29,correcto
Ernesto Santana,M1,12,sedimentaria,57,34,17,correcto
Ernesto Santana,M1,13,ígnea,69,40,31,correcto
Ernesto Santana,M1,14,sedimentaria,44,33,19,correcto
Ernesto Santana,M1,15,sedimentaria,47,34,18,correcto
Ernesto Santana,M1,16,sedimentaria,61,35,20,correcto
Ernesto Santana,M1,17,sedimentaria,47,43,33,correcto
Ernesto Santana,M1,18,sedimentaria,54,38,19,correcto
Ernesto Santana,M1,19,sedimentaria,58,32,20,correcto
Ernesto Santana,M1,20,sedimentaria,84,33,16,correcto
Ernesto Santana,M1,21,sedimentaria,56,50,31,correcto
Ernesto Santana,M1,22,sedimentaria,79,62,14,correcto
Ernesto Santana,M1,23,sedimentaria,85,41,32,correcto
Ernesto Santana,M1,24,sedimentaria,57,52,35,correcto
Ernesto Santana,M1,25,ígnea,68,49,28,correcto
Ernesto Santana,M1,26,sedimentaria,86,58,38,correcto
Ernesto Santana,M1,27,sedimentaria,95,65,45,correcto
Ernesto Santana,M1,28,sedimentaria,65,44,22,correcto
Ernesto Santana,M1,29,sedimentaria,112,83,59,correcto
Ernesto Santana,M1,30,sedimentaria,84,73,51,correcto
Ernesto Santana,M2,31,,97,47,30,correcto
Ernesto Santana,M2,32,,76,54,42,correcto
Ernesto Santana,M2,33,,96,46,32,correcto
Ernesto Santana,M2,34,,74,52,25,correcto
Ernesto Santana,M2,35,,63,41,34,correcto
Ernesto Santana,M2,36,,107,58,30,correcto
Ernesto Santana,M2,37,,75,35,31,correcto
Ernesto Santana,M2,38,,104,60,37,correcto
Ernesto Santana,M2,39,,96,49,27,correcto
Ernesto Santana,M2,40,,64,50,20,correcto
